freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.410e+01,3.435e+02,2.458e+02,6.134e+02
1.5,3.630e+01,2.871e+02,1.584e+02,4.818e+02
3.1,3.540e+01,1.462e+02,4.355e+01,2.252e+02
4.6,3.174e+01,1.375e+02,3.790e+02,5.482e+02
6.1,3.879e+01,1.494e+02,1.277e+03,1.466e+03
7.7,4.932e+01,1.736e+02,1.846e+03,2.069e+03
9.2,4.930e+01,1.641e+02,2.668e+03,2.882e+03
10.7,4.929e+01,1.172e+02,3.806e+03,3.973e+03
12.3,5.381e+01,1.120e+02,5.312e+03,5.478e+03
13.8,6.781e+01,1.276e+02,7.099e+03,7.294e+03
15.3,1.040e+02,1.488e+02,9.532e+03,9.785e+03
16.9,2.092e+02,2.075e+02,1.267e+04,1.309e+04
18.4,4.152e+02,2.437e+02,1.591e+04,1.657e+04
20.0,5.344e+02,3.877e+02,1.965e+04,2.058e+04
21.5,4.361e+02,8.378e+02,2.657e+04,2.785e+04
23.0,3.617e+02,1.768e+03,3.572e+04,3.785e+04
24.6,3.339e+02,3.063e+03,3.831e+04,4.171e+04
26.1,2.347e+02,3.511e+03,2.860e+04,3.235e+04
27.6,1.259e+02,2.173e+03,1.987e+04,2.217e+04
29.2,1.776e+02,6.581e+02,1.737e+04,1.821e+04
30.7,2.424e+02,3.611e+02,1.741e+04,1.801e+04
32.2,2.611e+02,5.524e+02,1.979e+04,2.061e+04
33.8,2.544e+02,9.663e+02,2.372e+04,2.494e+04
35.3,2.544e+02,1.538e+03,2.847e+04,3.027e+04
36.8,2.536e+02,2.574e+03,3.477e+04,3.760e+04
38.4,2.535e+02,4.814e+03,4.366e+04,4.873e+04
39.9,2.056e+02,1.012e+04,5.539e+04,6.572e+04
41.4,3.301e+02,2.595e+04,7.588e+04,1.022e+05
43.0,9.579e+02,5.947e+04,9.616e+04,1.566e+05
44.5,1.377e+03,8.543e+04,9.137e+04,1.782e+05
46.0,1.016e+03,1.060e+05,8.471e+04,1.917e+05
47.6,4.872e+02,1.195e+05,8.001e+04,2.000e+05
49.1,2.501e+02,1.206e+05,7.371e+04,1.946e+05
50.6,2.168e+02,1.104e+05,7.509e+04,1.857e+05
52.2,4.232e+02,9.731e+04,9.257e+04,1.903e+05
53.7,6.457e+02,8.825e+04,1.236e+05,2.125e+05
55.3,7.578e+02,8.284e+04,1.686e+05,2.522e+05
56.8,9.814e+02,8.413e+04,2.200e+05,3.052e+05
58.3,1.199e+03,1.086e+05,2.674e+05,3.772e+05
59.9,1.184e+03,1.763e+05,3.003e+05,4.778e+05
61.4,1.203e+03,2.826e+05,3.321e+05,6.159e+05
62.9,1.930e+03,3.860e+05,3.755e+05,7.635e+05
64.5,3.062e+03,4.981e+05,4.344e+05,9.356e+05
66.0,4.002e+03,6.340e+05,5.044e+05,1.142e+06
67.5,4.551e+03,7.092e+05,5.265e+05,1.240e+06
69.1,5.734e+03,7.550e+05,5.295e+05,1.290e+06
70.6,6.688e+03,9.117e+05,6.265e+05,1.545e+06
72.1,8.877e+03,9.805e+05,6.343e+05,1.624e+06
73.7,1.195e+04,9.389e+05,5.422e+05,1.493e+06
75.2,1.850e+04,9.629e+05,5.181e+05,1.500e+06
76.7,2.645e+04,9.802e+05,4.866e+05,1.493e+06
78.3,3.376e+04,9.611e+05,4.462e+05,1.441e+06
79.8,4.074e+04,9.573e+05,4.201e+05,1.418e+06
