freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.461e+02,5.954e+02,3.183e+01,1.373e+03
1.5,4.397e+02,9.393e+02,1.028e+02,1.482e+03
3.1,3.864e+01,7.346e+02,1.370e+02,9.103e+02
4.6,3.258e+02,8.014e+02,1.432e+02,1.270e+03
6.1,1.209e+03,8.189e+02,1.303e+02,2.158e+03
7.7,2.055e+03,9.173e+02,1.435e+02,3.116e+03
9.2,3.035e+03,9.426e+02,1.610e+02,4.138e+03
10.7,4.251e+03,9.537e+02,1.393e+02,5.344e+03
12.2,5.872e+03,8.589e+02,1.234e+02,6.854e+03
13.8,7.829e+03,8.498e+02,1.587e+02,8.838e+03
15.3,1.024e+04,8.661e+02,1.482e+02,1.125e+04
16.8,1.363e+04,8.456e+02,1.326e+02,1.461e+04
18.4,1.822e+04,9.911e+02,1.541e+02,1.936e+04
19.9,2.362e+04,1.136e+03,1.944e+02,2.495e+04
21.4,2.686e+04,1.422e+03,2.923e+02,2.857e+04
23.0,2.330e+04,1.537e+03,2.979e+02,2.513e+04
24.5,1.661e+04,1.510e+03,2.764e+02,1.840e+04
26.0,1.307e+04,1.295e+03,2.645e+02,1.463e+04
27.5,1.265e+04,1.126e+03,2.487e+02,1.402e+04
29.1,1.417e+04,1.063e+03,2.341e+02,1.546e+04
30.6,1.650e+04,1.105e+03,2.112e+02,1.782e+04
32.1,1.936e+04,1.410e+03,2.148e+02,2.099e+04
33.7,2.274e+04,2.130e+03,2.425e+02,2.512e+04
35.2,2.630e+04,3.487e+03,2.664e+02,3.005e+04
36.7,2.991e+04,7.341e+03,2.812e+02,3.753e+04
38.3,3.319e+04,1.825e+04,3.281e+02,5.176e+04
39.8,3.666e+04,4.009e+04,4.489e+02,7.719e+04
41.3,4.439e+04,7.331e+04,6.005e+02,1.183e+05
42.9,5.316e+04,1.125e+05,7.234e+02,1.664e+05
44.4,6.010e+04,1.478e+05,7.694e+02,2.087e+05
45.9,7.403e+04,1.713e+05,7.063e+02,2.460e+05
47.4,9.306e+04,1.761e+05,6.539e+02,2.698e+05
49.0,1.095e+05,1.643e+05,6.800e+02,2.745e+05
50.5,1.240e+05,1.472e+05,8.004e+02,2.721e+05
52.0,1.458e+05,1.359e+05,8.739e+02,2.826e+05
53.6,1.729e+05,1.288e+05,9.423e+02,3.026e+05
