freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.699e+02,3.375e+02,2.260e+01,8.300e+02
1.5,2.894e+02,5.657e+02,6.608e+01,9.211e+02
3.1,4.076e+01,4.522e+02,7.009e+01,5.631e+02
4.6,3.414e+02,4.417e+02,7.971e+01,8.628e+02
6.1,1.226e+03,5.118e+02,9.044e+01,1.828e+03
7.7,2.063e+03,4.668e+02,9.100e+01,2.621e+03
9.2,3.019e+03,4.613e+02,8.972e+01,3.570e+03
10.7,4.188e+03,4.604e+02,8.744e+01,4.736e+03
12.2,5.757e+03,4.885e+02,7.469e+01,6.320e+03
13.8,7.667e+03,4.130e+02,7.456e+01,8.155e+03
15.3,1.006e+04,4.035e+02,6.677e+01,1.053e+04
16.8,1.314e+04,4.799e+02,8.345e+01,1.370e+04
18.4,1.717e+04,6.599e+02,1.071e+02,1.793e+04
19.9,2.165e+04,7.698e+02,1.141e+02,2.254e+04
21.4,2.416e+04,9.602e+02,1.702e+02,2.529e+04
23.0,2.156e+04,1.033e+03,1.972e+02,2.279e+04
24.5,1.602e+04,8.844e+02,1.749e+02,1.708e+04
26.0,1.302e+04,7.720e+02,1.521e+02,1.395e+04
27.6,1.279e+04,6.421e+02,1.324e+02,1.357e+04
29.1,1.455e+04,6.306e+02,9.718e+01,1.528e+04
30.6,1.765e+04,8.078e+02,1.056e+02,1.856e+04
32.1,2.113e+04,1.163e+03,1.263e+02,2.242e+04
33.7,2.373e+04,1.856e+03,1.396e+02,2.572e+04
35.2,2.469e+04,2.566e+03,1.126e+02,2.737e+04
36.7,2.578e+04,3.657e+03,9.782e+01,2.953e+04
38.3,2.849e+04,6.341e+03,1.127e+02,3.495e+04
39.8,3.244e+04,1.369e+04,1.502e+02,4.628e+04
41.3,3.719e+04,3.421e+04,2.141e+02,7.161e+04
42.9,4.264e+04,7.123e+04,2.929e+02,1.142e+05
44.4,5.080e+04,1.039e+05,3.086e+02,1.550e+05
45.9,6.147e+04,1.171e+05,2.868e+02,1.789e+05
47.5,7.314e+04,1.147e+05,2.881e+02,1.881e+05
49.0,8.449e+04,1.047e+05,2.732e+02,1.894e+05
50.5,9.992e+04,9.448e+04,2.748e+02,1.947e+05
52.0,1.174e+05,8.528e+04,2.687e+02,2.030e+05
53.6,1.382e+05,7.927e+04,2.448e+02,2.177e+05
55.1,1.597e+05,7.741e+04,2.055e+02,2.374e+05
56.6,1.877e+05,8.697e+04,2.041e+02,2.749e+05
58.2,2.234e+05,1.191e+05,1.955e+02,3.427e+05
59.7,2.650e+05,1.779e+05,1.748e+02,4.431e+05
61.2,3.296e+05,2.608e+05,2.837e+02,5.907e+05
62.8,4.130e+05,3.324e+05,5.682e+02,7.459e+05
64.3,5.078e+05,3.752e+05,7.764e+02,8.837e+05
65.8,6.393e+05,4.170e+05,8.670e+02,1.057e+06
67.3,8.442e+05,4.833e+05,1.078e+03,1.329e+06
68.9,1.118e+06,5.805e+05,1.621e+03,1.700e+06
70.4,1.378e+06,6.888e+05,2.192e+03,2.069e+06
71.9,1.612e+06,8.146e+05,3.338e+03,2.430e+06
73.5,1.777e+06,9.476e+05,7.412e+03,2.732e+06
75.0,1.866e+06,1.034e+06,1.444e+04,2.914e+06
76.5,1.836e+06,1.030e+06,1.825e+04,2.885e+06
78.1,1.649e+06,9.303e+05,1.790e+04,2.597e+06
79.6,1.482e+06,8.548e+05,1.760e+04,2.354e+06
81.1,1.450e+06,8.567e+05,2.687e+04,2.334e+06
82.7,1.450e+06,8.870e+05,3.386e+04,2.371e+06
84.2,1.398e+06,8.800e+05,3.828e+04,2.316e+06
85.7,1.305e+06,8.301e+05,4.263e+04,2.178e+06
87.2,1.175e+06,7.445e+05,4.496e+04,1.964e+06
88.8,1.072e+06,6.659e+05,4.696e+04,1.785e+06
90.3,9.778e+05,5.888e+05,4.538e+04,1.612e+06
91.8,8.789e+05,5.150e+05,3.580e+04,1.430e+06
93.4,7.839e+05,4.590e+05,2.546e+04,1.268e+06
94.9,7.110e+05,4.255e+05,2.033e+04,1.157e+06
96.4,6.503e+05,4.041e+05,1.635e+04,1.071e+06
98.0,5.719e+05,3.669e+05,1.085e+04,9.496e+05
99.5,5.144e+05,3.287e+05,4.877e+03,8.480e+05
101.0,4.772e+05,2.968e+05,1.903e+03,7.759e+05
102.6,4.439e+05,2.708e+05,1.262e+03,7.160e+05
104.1,4.148e+05,2.493e+05,1.348e+03,6.654e+05
105.6,3.835e+05,2.267e+05,1.853e+03,6.120e+05
107.1,3.562e+05,2.068e+05,2.780e+03,5.658e+05
108.7,3.310e+05,1.884e+05,3.898e+03,5.233e+05
110.2,3.110e+05,1.728e+05,5.065e+03,4.889e+05
111.7,2.829e+05,1.534e+05,6.029e+03,4.423e+05
113.3,2.531e+05,1.341e+05,6.926e+03,3.941e+05
114.8,2.421e+05,1.252e+05,8.027e+03,3.754e+05
116.3,2.368e+05,1.202e+05,9.421e+03,3.664e+05
117.9,2.309e+05,1.163e+05,1.169e+04,3.589e+05
119.4,2.254e+05,1.153e+05,1.539e+04,3.561e+05
120.9,2.196e+05,1.145e+05,1.544e+04,3.495e+05
122.5,2.160e+05,1.115e+05,1.427e+04,3.417e+05
124.0,2.156e+05,1.091e+05,1.535e+04,3.400e+05
125.5,2.122e+05,1.053e+05,2.139e+04,3.389e+05
