freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.514e+01,1.926e+01,5.016e+02,5.360e+02
1.5,3.428e+01,5.600e+01,3.054e+02,3.956e+02
3.0,3.334e+01,5.765e+01,4.280e+01,1.338e+02
4.6,3.518e+01,6.345e+01,3.265e+02,4.252e+02
6.1,3.485e+01,6.654e+01,1.159e+03,1.260e+03
7.6,3.475e+01,6.899e+01,1.893e+03,1.997e+03
9.1,3.376e+01,7.119e+01,2.722e+03,2.827e+03
10.7,3.365e+01,7.480e+01,3.780e+03,3.888e+03
12.2,3.019e+01,6.420e+01,5.051e+03,5.145e+03
13.7,3.259e+01,5.930e+01,6.564e+03,6.656e+03
15.2,3.474e+01,6.445e+01,8.616e+03,8.715e+03
16.7,3.587e+01,6.499e+01,1.118e+04,1.128e+04
18.3,4.444e+01,5.873e+01,1.297e+04,1.308e+04
19.8,4.991e+01,5.825e+01,1.206e+04,1.217e+04
21.3,4.272e+01,7.351e+01,1.036e+04,1.048e+04
22.8,4.240e+01,7.376e+01,1.094e+04,1.105e+04
24.4,5.360e+01,7.312e+01,1.314e+04,1.327e+04
25.9,6.412e+01,7.852e+01,1.556e+04,1.570e+04
27.4,7.835e+01,8.002e+01,1.786e+04,1.802e+04
28.9,1.009e+02,8.325e+01,2.039e+04,2.058e+04
30.4,1.154e+02,9.632e+01,2.330e+04,2.351e+04
32.0,1.314e+02,1.141e+02,2.667e+04,2.691e+04
33.5,1.575e+02,1.480e+02,3.040e+04,3.071e+04
35.0,1.870e+02,1.591e+02,3.436e+04,3.471e+04
36.5,2.053e+02,1.535e+02,3.840e+04,3.875e+04
38.1,2.489e+02,1.919e+02,4.241e+04,4.285e+04
39.6,3.682e+02,2.623e+02,4.743e+04,4.806e+04
41.1,6.463e+02,4.256e+02,5.347e+04,5.454e+04
42.6,1.297e+03,8.327e+02,5.886e+04,6.099e+04
44.1,2.695e+03,1.657e+03,6.348e+04,6.783e+04
45.7,5.922e+03,3.729e+03,6.663e+04,7.628e+04
47.2,1.413e+04,9.854e+03,6.965e+04,9.363e+04
48.7,2.593e+04,1.994e+04,7.768e+04,1.235e+05
50.2,2.985e+04,2.466e+04,9.295e+04,1.475e+05
51.8,2.770e+04,2.343e+04,1.097e+05,1.608e+05
53.3,2.252e+04,1.903e+04,1.286e+05,1.702e+05
54.8,1.710e+04,1.485e+04,1.482e+05,1.801e+05
56.3,1.287e+04,1.179e+04,1.693e+05,1.940e+05
57.8,1.035e+04,1.013e+04,1.986e+05,2.191e+05
59.4,8.594e+03,9.458e+03,2.332e+05,2.513e+05
60.9,7.733e+03,9.896e+03,2.725e+05,2.902e+05
62.4,7.661e+03,1.103e+04,3.193e+05,3.380e+05
63.9,8.680e+03,1.321e+04,3.650e+05,3.869e+05
65.5,1.314e+04,1.847e+04,4.043e+05,4.360e+05
67.0,1.693e+04,2.234e+04,4.686e+05,5.078e+05
68.5,1.334e+04,1.830e+04,5.569e+05,5.886e+05
70.0,7.816e+03,1.201e+04,6.083e+05,6.281e+05
71.6,7.110e+03,7.765e+03,5.890e+05,6.039e+05
73.1,8.770e+03,5.111e+03,5.798e+05,5.937e+05
74.6,9.513e+03,4.150e+03,5.683e+05,5.820e+05
76.1,1.213e+04,3.097e+03,5.679e+05,5.832e+05
77.6,1.650e+04,1.951e+03,4.874e+05,5.058e+05
79.2,1.926e+04,1.695e+03,3.732e+05,3.941e+05
80.7,1.994e+04,1.513e+03,2.883e+05,3.098e+05
82.2,2.064e+04,1.528e+03,2.292e+05,2.514e+05
83.7,2.033e+04,1.508e+03,1.859e+05,2.078e+05
85.3,2.043e+04,1.523e+03,1.653e+05,1.873e+05
86.8,2.179e+04,1.722e+03,1.548e+05,1.783e+05
88.3,2.402e+04,2.035e+03,1.544e+05,1.804e+05
89.8,2.644e+04,2.302e+03,1.644e+05,1.931e+05
91.3,2.879e+04,2.441e+03,1.827e+05,2.140e+05
92.9,3.021e+04,2.670e+03,2.119e+05,2.448e+05
94.4,3.201e+04,3.070e+03,2.556e+05,2.907e+05
95.9,3.246e+04,3.382e+03,3.119e+05,3.478e+05
97.4,3.225e+04,3.763e+03,4.089e+05,4.449e+05
99.0,3.035e+04,3.801e+03,5.588e+05,5.930e+05
100.5,2.519e+04,3.423e+03,7.372e+05,7.658e+05
102.0,2.088e+04,2.644e+03,8.456e+05,8.691e+05
103.5,1.901e+04,2.132e+03,9.210e+05,9.422e+05
105.0,2.022e+04,2.005e+03,9.790e+05,1.001e+06
106.6,2.138e+04,1.942e+03,1.031e+06,1.054e+06
108.1,2.258e+04,1.767e+03,1.096e+06,1.120e+06
109.6,2.313e+04,1.746e+03,1.175e+06,1.200e+06
111.1,2.154e+04,1.708e+03,1.272e+06,1.296e+06
112.7,1.978e+04,1.872e+03,1.349e+06,1.370e+06
114.2,1.797e+04,4.186e+03,1.515e+06,1.538e+06
115.7,1.549e+04,1.112e+04,1.850e+06,1.876e+06
117.2,1.377e+04,1.403e+04,2.356e+06,2.384e+06
118.7,1.302e+04,1.274e+04,3.043e+06,3.069e+06
120.3,1.211e+04,9.874e+03,3.758e+06,3.780e+06
121.8,1.215e+04,6.862e+03,4.390e+06,4.409e+06
123.3,1.137e+04,4.672e+03,4.695e+06,4.711e+06
124.8,1.015e+04,4.032e+03,4.692e+06,4.706e+06
126.4,8.399e+03,3.878e+03,4.018e+06,4.030e+06
