freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.918e+00,5.466e+01,4.000e+02,4.636e+02
1.5,2.902e+01,1.127e+02,4.467e+02,5.884e+02
3.1,3.328e+01,1.012e+02,2.976e+02,4.321e+02
4.6,3.445e+01,1.037e+02,6.104e+02,7.485e+02
6.1,3.323e+01,8.920e+01,1.426e+03,1.548e+03
7.7,3.086e+01,9.181e+01,2.167e+03,2.289e+03
9.2,3.094e+01,1.038e+02,3.028e+03,3.163e+03
10.7,3.132e+01,1.009e+02,4.180e+03,4.312e+03
12.2,3.431e+01,1.091e+02,5.600e+03,5.744e+03
13.8,3.273e+01,1.026e+02,7.285e+03,7.420e+03
15.3,3.278e+01,1.035e+02,9.232e+03,9.368e+03
16.8,3.415e+01,1.063e+02,1.177e+04,1.191e+04
18.4,3.415e+01,1.148e+02,1.489e+04,1.503e+04
19.9,4.174e+01,1.187e+02,1.748e+04,1.764e+04
21.4,5.844e+01,1.159e+02,1.715e+04,1.733e+04
23.0,6.024e+01,1.257e+02,1.420e+04,1.438e+04
24.5,5.735e+01,1.258e+02,1.257e+04,1.275e+04
26.0,4.970e+01,1.311e+02,1.280e+04,1.298e+04
27.6,4.361e+01,1.364e+02,1.389e+04,1.407e+04
29.1,4.361e+01,1.382e+02,1.592e+04,1.610e+04
30.6,3.757e+01,1.345e+02,1.853e+04,1.870e+04
32.1,3.519e+01,1.347e+02,2.175e+04,2.192e+04
33.7,3.755e+01,1.287e+02,2.541e+04,2.558e+04
35.2,3.401e+01,1.403e+02,2.914e+04,2.931e+04
36.7,3.589e+01,1.714e+02,3.319e+04,3.340e+04
38.3,3.645e+01,1.815e+02,3.800e+04,3.822e+04
39.8,3.887e+01,1.974e+02,4.343e+04,4.367e+04
41.3,3.953e+01,2.592e+02,4.847e+04,4.876e+04
42.9,5.455e+01,9.285e+02,5.289e+04,5.387e+04
44.4,9.792e+01,3.804e+03,5.665e+04,6.056e+04
45.9,1.800e+02,1.034e+04,5.905e+04,6.958e+04
47.5,1.936e+02,1.573e+04,6.290e+04,7.882e+04
49.0,1.287e+02,1.483e+04,6.894e+04,8.391e+04
50.5,8.604e+01,1.219e+04,7.794e+04,9.022e+04
52.0,6.228e+01,1.024e+04,8.743e+04,9.773e+04
53.6,4.670e+01,8.961e+03,9.888e+04,1.079e+05
55.1,5.535e+01,8.657e+03,1.100e+05,1.188e+05
56.6,8.739e+01,1.020e+04,1.252e+05,1.355e+05
58.2,1.397e+02,1.455e+04,1.448e+05,1.595e+05
59.7,2.678e+02,2.267e+04,1.682e+05,1.911e+05
61.2,4.611e+02,3.541e+04,1.980e+05,2.339e+05
62.8,7.052e+02,5.376e+04,2.396e+05,2.940e+05
64.3,1.053e+03,7.245e+04,2.790e+05,3.525e+05
65.8,1.391e+03,8.967e+04,3.272e+05,4.182e+05
67.3,1.729e+03,1.088e+05,4.047e+05,5.153e+05
68.9,2.277e+03,1.302e+05,5.068e+05,6.393e+05
70.4,3.168e+03,1.467e+05,6.078e+05,7.576e+05
71.9,3.791e+03,1.512e+05,6.695e+05,8.245e+05
73.5,4.199e+03,1.450e+05,6.768e+05,8.260e+05
75.0,6.476e+03,1.468e+05,7.175e+05,8.708e+05
76.5,1.134e+04,1.488e+05,7.221e+05,8.823e+05
78.1,1.579e+04,1.422e+05,6.496e+05,8.076e+05
79.6,1.946e+04,1.300e+05,5.864e+05,7.358e+05
81.1,2.399e+04,1.173e+05,5.624e+05,7.037e+05
82.7,2.387e+04,9.781e+04,5.038e+05,6.254e+05
84.2,2.084e+04,7.453e+04,4.008e+05,4.962e+05
85.7,1.792e+04,5.440e+04,3.089e+05,3.812e+05
87.2,1.572e+04,4.037e+04,2.393e+05,2.954e+05
88.8,1.369e+04,2.958e+04,1.953e+05,2.385e+05
90.3,1.222e+04,2.173e+04,1.780e+05,2.119e+05
91.8,1.213e+04,1.854e+04,1.943e+05,2.249e+05
93.4,1.336e+04,1.819e+04,2.327e+05,2.642e+05
94.9,1.651e+04,1.834e+04,2.690e+05,3.038e+05
96.4,2.108e+04,1.785e+04,3.104e+05,3.494e+05
98.0,2.126e+04,1.595e+04,3.526e+05,3.898e+05
99.5,1.905e+04,1.229e+04,3.945e+05,4.258e+05
