freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.424e+00,3.466e+01,5.154e+02,5.585e+02
1.5,3.109e+01,1.659e+02,6.303e+02,8.273e+02
3.1,3.314e+01,1.642e+02,4.450e+02,6.423e+02
4.6,3.157e+01,1.547e+02,7.470e+02,9.333e+02
6.1,3.295e+01,1.422e+02,1.602e+03,1.777e+03
7.7,3.673e+01,1.371e+02,2.328e+03,2.502e+03
9.2,3.900e+01,1.647e+02,3.233e+03,3.437e+03
10.7,3.567e+01,1.986e+02,4.418e+03,4.652e+03
12.2,3.255e+01,1.887e+02,5.791e+03,6.012e+03
13.8,3.302e+01,1.657e+02,7.422e+03,7.621e+03
15.3,3.626e+01,1.470e+02,9.639e+03,9.823e+03
16.8,3.793e+01,1.677e+02,1.266e+04,1.286e+04
18.4,3.801e+01,1.975e+02,1.647e+04,1.671e+04
19.9,4.603e+01,1.898e+02,1.955e+04,1.978e+04
21.4,6.968e+01,1.620e+02,1.862e+04,1.885e+04
23.0,7.727e+01,1.466e+02,1.512e+04,1.535e+04
24.5,7.353e+01,1.638e+02,1.340e+04,1.363e+04
26.0,6.544e+01,1.749e+02,1.393e+04,1.417e+04
27.5,4.983e+01,1.704e+02,1.559e+04,1.581e+04
29.1,4.661e+01,1.482e+02,1.812e+04,1.832e+04
30.6,4.605e+01,1.269e+02,2.134e+04,2.151e+04
32.1,4.223e+01,1.477e+02,2.560e+04,2.579e+04
33.7,3.869e+01,1.652e+02,3.008e+04,3.029e+04
35.2,4.178e+01,1.799e+02,3.455e+04,3.477e+04
36.7,4.320e+01,2.152e+02,3.974e+04,4.000e+04
38.3,4.305e+01,2.987e+02,4.630e+04,4.664e+04
39.8,4.503e+01,4.583e+02,5.186e+04,5.237e+04
41.3,4.386e+01,7.448e+02,5.871e+04,5.950e+04
42.8,5.915e+01,1.963e+03,6.419e+04,6.622e+04
44.4,1.313e+02,8.696e+03,6.521e+04,7.404e+04
45.9,2.477e+02,1.980e+04,6.851e+04,8.857e+04
47.4,3.158e+02,2.592e+04,7.603e+04,1.023e+05
49.0,3.047e+02,2.507e+04,8.341e+04,1.088e+05
50.5,2.539e+02,2.181e+04,9.146e+04,1.135e+05
52.0,2.138e+02,1.941e+04,1.053e+05,1.249e+05
53.6,1.695e+02,1.761e+04,1.232e+05,1.410e+05
55.1,1.379e+02,1.674e+04,1.436e+05,1.605e+05
56.6,1.128e+02,1.599e+04,1.635e+05,1.796e+05
58.1,9.381e+01,1.517e+04,1.880e+05,2.033e+05
59.7,6.447e+01,1.519e+04,2.279e+05,2.432e+05
61.2,4.750e+01,1.612e+04,2.796e+05,2.958e+05
62.7,4.926e+01,1.779e+04,3.446e+05,3.624e+05
64.3,8.749e+01,2.045e+04,4.218e+05,4.424e+05
65.8,1.693e+02,2.436e+04,5.168e+05,5.413e+05
67.3,3.827e+02,3.179e+04,6.021e+05,6.343e+05
68.9,7.411e+02,4.329e+04,6.974e+05,7.415e+05
70.4,1.140e+03,5.361e+04,8.279e+05,8.826e+05
71.9,1.984e+03,5.849e+04,9.205e+05,9.810e+05
73.5,3.489e+03,6.306e+04,9.300e+05,9.966e+05
75.0,4.975e+03,6.399e+04,8.903e+05,9.593e+05
76.5,6.015e+03,6.149e+04,8.207e+05,8.882e+05
78.0,6.495e+03,5.643e+04,7.681e+05,8.310e+05
79.6,4.960e+03,4.884e+04,7.332e+05,7.870e+05
81.1,4.341e+03,4.147e+04,6.671e+05,7.129e+05
82.6,5.893e+03,4.310e+04,5.510e+05,5.999e+05
84.2,5.292e+03,3.930e+04,4.526e+05,4.972e+05
85.7,3.878e+03,3.206e+04,3.681e+05,4.041e+05
87.2,3.015e+03,2.851e+04,2.960e+05,3.275e+05
88.8,1.967e+03,2.407e+04,2.215e+05,2.475e+05
90.3,8.090e+02,1.704e+04,1.439e+05,1.617e+05
91.8,1.034e+03,1.335e+04,1.189e+05,1.333e+05
93.3,2.560e+03,1.400e+04,1.608e+05,1.773e+05
94.9,5.820e+03,1.597e+04,2.523e+05,2.741e+05
96.4,9.719e+03,1.267e+04,3.694e+05,3.918e+05
97.9,1.409e+04,6.268e+03,4.959e+05,5.162e+05
99.5,1.847e+04,3.067e+03,5.627e+05,5.842e+05
101.0,1.954e+04,2.158e+03,5.564e+05,5.781e+05
102.5,1.855e+04,2.104e+03,5.075e+05,5.281e+05
104.1,1.595e+04,2.259e+03,4.383e+05,4.565e+05
105.6,1.352e+04,2.604e+03,3.779e+05,3.941e+05
107.1,1.274e+04,3.177e+03,3.398e+05,3.557e+05
108.6,1.249e+04,3.494e+03,3.149e+05,3.309e+05
110.2,1.195e+04,3.510e+03,2.931e+05,3.085e+05
111.7,1.113e+04,3.553e+03,2.820e+05,2.966e+05
