freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.637e+03,2.827e+02,3.544e+01,1.955e+03
1.5,9.552e+02,3.634e+02,5.745e+01,1.376e+03
3.0,5.176e+01,2.527e+02,4.498e+01,3.495e+02
4.6,3.312e+02,2.151e+02,4.504e+01,5.913e+02
6.1,1.197e+03,2.004e+02,4.896e+01,1.446e+03
7.6,1.992e+03,1.821e+02,4.647e+01,2.221e+03
9.1,2.923e+03,1.658e+02,4.100e+01,3.130e+03
10.6,4.097e+03,2.099e+02,5.146e+01,4.358e+03
12.1,5.484e+03,1.889e+02,5.677e+01,5.730e+03
13.7,7.207e+03,1.751e+02,5.283e+01,7.435e+03
15.2,9.427e+03,1.980e+02,5.251e+01,9.677e+03
16.7,1.234e+04,2.061e+02,5.237e+01,1.260e+04
18.2,1.558e+04,2.222e+02,6.178e+01,1.586e+04
19.7,1.807e+04,2.544e+02,9.178e+01,1.842e+04
21.3,1.706e+04,2.440e+02,8.708e+01,1.739e+04
22.8,1.381e+04,2.857e+02,7.695e+01,1.417e+04
24.3,1.250e+04,2.802e+02,6.250e+01,1.284e+04
25.8,1.341e+04,2.624e+02,4.792e+01,1.372e+04
27.3,1.563e+04,2.273e+02,5.203e+01,1.591e+04
28.8,1.806e+04,2.001e+02,6.148e+01,1.833e+04
30.4,2.066e+04,1.951e+02,5.839e+01,2.091e+04
31.9,2.354e+04,2.203e+02,5.189e+01,2.382e+04
33.4,2.614e+04,3.107e+02,5.402e+01,2.651e+04
34.9,2.870e+04,5.050e+02,7.304e+01,2.927e+04
36.4,3.129e+04,6.915e+02,8.252e+01,3.207e+04
37.9,3.306e+04,1.116e+03,1.030e+02,3.428e+04
39.5,3.361e+04,1.926e+03,1.630e+02,3.570e+04
41.0,3.311e+04,3.780e+03,2.528e+02,3.714e+04
42.5,2.881e+04,1.032e+04,4.479e+02,3.957e+04
44.0,3.276e+04,3.230e+04,9.902e+02,6.605e+04
45.5,8.033e+04,5.317e+04,1.327e+03,1.348e+05
47.1,1.398e+05,5.664e+04,1.138e+03,1.975e+05
48.6,1.843e+05,5.594e+04,1.062e+03,2.413e+05
50.1,2.263e+05,5.784e+04,1.231e+03,2.854e+05
51.6,2.666e+05,6.070e+04,1.441e+03,3.287e+05
53.1,3.052e+05,6.399e+04,1.604e+03,3.708e+05
54.6,3.406e+05,7.256e+04,2.013e+03,4.152e+05
56.2,3.963e+05,1.085e+05,3.194e+03,5.080e+05
57.7,5.356e+05,1.986e+05,5.206e+03,7.394e+05
59.2,7.198e+05,2.919e+05,6.742e+03,1.018e+06
60.7,8.933e+05,3.415e+05,7.462e+03,1.242e+06
62.2,1.162e+06,3.991e+05,7.893e+03,1.569e+06
63.8,1.502e+06,4.547e+05,8.136e+03,1.965e+06
65.3,1.917e+06,5.038e+05,8.272e+03,2.429e+06
66.8,2.931e+06,6.619e+05,9.473e+03,3.602e+06
68.3,5.209e+06,1.012e+06,1.461e+04,6.236e+06
69.8,8.823e+06,1.497e+06,2.827e+04,1.035e+07
71.3,1.145e+07,1.725e+06,3.742e+04,1.321e+07
72.9,1.137e+07,1.543e+06,3.432e+04,1.295e+07
74.4,1.010e+07,1.252e+06,3.602e+04,1.139e+07
75.9,8.666e+06,9.973e+05,4.399e+04,9.708e+06
77.4,7.137e+06,7.884e+05,4.113e+04,7.966e+06
78.9,5.670e+06,6.097e+05,3.423e+04,6.314e+06
80.5,4.809e+06,5.012e+05,3.486e+04,5.345e+06
82.0,4.267e+06,4.226e+05,3.855e+04,4.728e+06
83.5,3.547e+06,3.340e+05,3.539e+04,3.916e+06
85.0,2.926e+06,2.645e+05,3.117e+04,3.222e+06
86.5,2.421e+06,2.106e+05,2.478e+04,2.656e+06
88.0,2.008e+06,1.694e+05,1.979e+04,2.198e+06
89.6,1.771e+06,1.446e+05,2.069e+04,1.936e+06
91.1,1.576e+06,1.242e+05,2.298e+04,1.723e+06
92.6,1.420e+06,1.081e+05,2.525e+04,1.553e+06
94.1,1.286e+06,9.456e+04,2.722e+04,1.408e+06
95.6,1.173e+06,8.345e+04,3.064e+04,1.288e+06
97.1,1.063e+06,7.397e+04,3.398e+04,1.171e+06
98.7,9.392e+05,6.453e+04,3.598e+04,1.040e+06
100.2,8.656e+05,5.777e+04,6.292e+04,9.863e+05
101.7,8.096e+05,5.177e+04,1.399e+05,1.001e+06
103.2,7.811e+05,4.868e+04,1.632e+05,9.931e+05
104.7,7.597e+05,4.720e+04,1.398e+05,9.466e+05
106.3,7.414e+05,4.628e+04,1.182e+05,9.059e+05
107.8,7.179e+05,4.542e+04,1.014e+05,8.648e+05
109.3,6.932e+05,4.537e+04,8.844e+04,8.271e+05
110.8,6.569e+05,4.462e+04,7.736e+04,7.789e+05
112.3,5.811e+05,4.091e+04,6.786e+04,6.899e+05
113.8,5.287e+05,3.827e+04,6.447e+04,6.314e+05
115.4,5.106e+05,3.728e+04,6.202e+04,6.099e+05
116.9,5.017e+05,3.645e+04,5.788e+04,5.960e+05
118.4,4.908e+05,3.525e+04,5.761e+04,5.837e+05
119.9,4.692e+05,3.339e+04,6.672e+04,5.693e+05
121.4,4.580e+05,3.194e+04,1.016e+05,5.915e+05
123.0,4.466e+05,3.028e+04,1.566e+05,6.335e+05
124.5,4.304e+05,2.861e+04,2.044e+05,6.634e+05
126.0,4.161e+05,2.665e+04,2.402e+05,6.829e+05
127.5,4.045e+05,2.436e+04,2.737e+05,7.026e+05
