freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.803e+01,9.779e+00,5.037e+02,5.315e+02
1.5,3.601e+01,2.009e+01,2.937e+02,3.498e+02
3.1,3.389e+01,2.161e+01,3.067e+01,8.618e+01
4.6,3.083e+01,2.190e+01,3.003e+02,3.530e+02
6.1,2.927e+01,2.362e+01,1.107e+03,1.160e+03
7.7,3.105e+01,2.324e+01,1.851e+03,1.905e+03
9.2,3.136e+01,2.239e+01,2.679e+03,2.733e+03
10.7,3.026e+01,2.134e+01,3.702e+03,3.754e+03
12.2,3.128e+01,2.158e+01,4.987e+03,5.040e+03
13.8,3.341e+01,2.136e+01,6.593e+03,6.648e+03
15.3,3.363e+01,2.261e+01,8.756e+03,8.812e+03
16.8,3.624e+01,2.177e+01,1.123e+04,1.129e+04
18.4,4.245e+01,2.198e+01,1.205e+04,1.211e+04
19.9,4.809e+01,2.733e+01,1.021e+04,1.028e+04
21.4,6.232e+01,3.135e+01,9.665e+03,9.759e+03
23.0,8.371e+01,3.053e+01,1.134e+04,1.145e+04
24.5,1.069e+02,3.146e+01,1.432e+04,1.446e+04
26.0,1.372e+02,3.634e+01,1.875e+04,1.892e+04
27.6,1.760e+02,4.211e+01,2.281e+04,2.302e+04
29.1,1.537e+02,4.320e+01,2.297e+04,2.317e+04
30.6,1.008e+02,4.889e+01,2.288e+04,2.303e+04
32.2,1.014e+02,5.530e+01,2.520e+04,2.536e+04
33.7,1.249e+02,6.959e+01,2.856e+04,2.876e+04
35.2,1.609e+02,9.374e+01,3.234e+04,3.259e+04
36.7,2.040e+02,1.177e+02,3.636e+04,3.668e+04
38.3,2.790e+02,1.516e+02,4.055e+04,4.098e+04
39.8,3.236e+02,1.729e+02,4.443e+04,4.493e+04
41.3,3.783e+02,1.941e+02,4.863e+04,4.920e+04
42.9,5.027e+02,2.515e+02,5.264e+04,5.340e+04
44.4,8.552e+02,4.417e+02,5.488e+04,5.618e+04
45.9,1.644e+03,8.897e+02,5.554e+04,5.808e+04
47.5,3.288e+03,1.851e+03,5.629e+04,6.143e+04
49.0,8.850e+03,5.404e+03,5.766e+04,7.191e+04
50.5,2.300e+04,1.488e+04,6.326e+04,1.011e+05
52.1,3.058e+04,2.042e+04,7.628e+04,1.273e+05
53.6,2.938e+04,2.005e+04,9.300e+04,1.424e+05
55.1,2.517e+04,1.725e+04,1.073e+05,1.497e+05
56.7,2.001e+04,1.396e+04,1.216e+05,1.555e+05
58.2,1.623e+04,1.149e+04,1.388e+05,1.665e+05
59.7,1.368e+04,9.578e+03,1.550e+05,1.783e+05
61.2,1.231e+04,8.524e+03,1.794e+05,2.002e+05
62.8,1.222e+04,8.363e+03,2.118e+05,2.324e+05
