freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.263e+01,1.655e+02,4.703e+02,6.484e+02
1.5,4.954e+01,7.309e+02,5.848e+02,1.365e+03
3.1,5.134e+01,7.905e+02,4.355e+02,1.277e+03
4.6,4.664e+01,7.813e+02,7.620e+02,1.590e+03
6.1,4.223e+01,7.912e+02,1.664e+03,2.497e+03
7.6,4.063e+01,8.039e+02,2.345e+03,3.190e+03
9.2,4.039e+01,8.767e+02,3.252e+03,4.169e+03
10.7,3.967e+01,8.360e+02,4.337e+03,5.212e+03
12.2,4.263e+01,7.921e+02,5.547e+03,6.382e+03
13.8,4.270e+01,7.953e+02,7.301e+03,8.139e+03
15.3,4.176e+01,7.090e+02,9.622e+03,1.037e+04
16.8,4.155e+01,7.023e+02,1.265e+04,1.339e+04
18.3,4.069e+01,6.895e+02,1.648e+04,1.721e+04
19.9,4.744e+01,7.313e+02,1.948e+04,2.026e+04
21.4,6.589e+01,7.252e+02,1.864e+04,1.943e+04
22.9,8.189e+01,6.159e+02,1.497e+04,1.567e+04
24.4,8.090e+01,5.181e+02,1.335e+04,1.395e+04
26.0,7.495e+01,5.418e+02,1.431e+04,1.492e+04
27.5,5.927e+01,5.719e+02,1.631e+04,1.694e+04
29.0,5.189e+01,6.460e+02,1.915e+04,1.985e+04
30.6,4.786e+01,6.877e+02,2.264e+04,2.338e+04
32.1,4.658e+01,6.764e+02,2.741e+04,2.814e+04
33.6,4.688e+01,7.570e+02,3.290e+04,3.370e+04
35.1,4.463e+01,7.362e+02,3.783e+04,3.861e+04
36.7,4.159e+01,7.063e+02,4.317e+04,4.392e+04
38.2,4.561e+01,7.370e+02,4.973e+04,5.051e+04
39.7,4.538e+01,8.226e+02,5.564e+04,5.651e+04
41.3,4.478e+01,9.103e+02,6.312e+04,6.408e+04
42.8,5.090e+01,1.037e+03,6.925e+04,7.034e+04
44.3,6.584e+01,1.781e+03,7.165e+04,7.350e+04
45.8,7.375e+01,2.907e+03,7.430e+04,7.728e+04
47.4,7.735e+01,3.452e+03,7.824e+04,8.177e+04
48.9,9.285e+01,3.337e+03,8.231e+04,8.574e+04
50.4,1.164e+02,3.491e+03,8.786e+04,9.147e+04
51.9,1.401e+02,4.330e+03,1.012e+05,1.057e+05
53.5,1.649e+02,6.237e+03,1.194e+05,1.258e+05
55.0,1.916e+02,9.559e+03,1.391e+05,1.488e+05
56.5,2.096e+02,1.354e+04,1.572e+05,1.710e+05
58.1,1.927e+02,1.773e+04,1.744e+05,1.923e+05
59.6,1.793e+02,2.218e+04,2.067e+05,2.290e+05
61.1,1.699e+02,2.525e+04,2.506e+05,2.760e+05
62.6,1.688e+02,2.888e+04,3.098e+05,3.389e+05
64.2,2.122e+02,3.414e+04,3.808e+05,4.151e+05
65.7,2.567e+02,4.112e+04,4.532e+05,4.945e+05
67.2,2.778e+02,4.845e+04,5.164e+05,5.652e+05
68.8,3.330e+02,6.411e+04,5.991e+05,6.636e+05
70.3,4.303e+02,7.586e+04,7.111e+05,7.874e+05
71.8,6.026e+02,9.677e+04,8.363e+05,9.337e+05
73.3,9.831e+02,1.212e+05,9.393e+05,1.062e+06
74.9,1.527e+03,1.311e+05,1.006e+06,1.138e+06
76.4,2.275e+03,1.518e+05,1.042e+06,1.196e+06
77.9,3.256e+03,1.478e+05,1.049e+06,1.200e+06
79.4,4.713e+03,1.410e+05,1.045e+06,1.191e+06
81.0,6.269e+03,1.359e+05,1.009e+06,1.151e+06
82.5,6.814e+03,1.248e+05,9.269e+05,1.059e+06
84.0,8.449e+03,8.651e+04,8.231e+05,9.180e+05
85.6,9.227e+03,5.376e+04,6.552e+05,7.182e+05
87.1,8.479e+03,3.715e+04,4.739e+05,5.195e+05
88.6,8.127e+03,2.533e+04,3.383e+05,3.717e+05
90.1,9.358e+03,1.895e+04,2.643e+05,2.926e+05
91.7,1.057e+04,1.394e+04,2.245e+05,2.490e+05
93.2,1.261e+04,1.039e+04,2.184e+05,2.414e+05
94.7,1.807e+04,1.037e+04,3.174e+05,3.458e+05
96.3,2.323e+04,9.995e+03,4.752e+05,5.084e+05
97.8,2.648e+04,8.596e+03,6.288e+05,6.638e+05
99.3,2.651e+04,6.746e+03,7.261e+05,7.594e+05
100.8,2.515e+04,5.475e+03,7.230e+05,7.537e+05
102.4,2.352e+04,5.138e+03,6.549e+05,6.835e+05
103.9,2.055e+04,5.276e+03,5.453e+05,5.711e+05
105.4,1.704e+04,5.679e+03,4.308e+05,4.536e+05
106.9,1.503e+04,4.928e+03,3.687e+05,3.887e+05
108.5,1.342e+04,4.825e+03,3.271e+05,3.454e+05
110.0,1.265e+04,4.492e+03,2.931e+05,3.103e+05
111.5,1.274e+04,3.841e+03,2.641e+05,2.807e+05
113.1,1.315e+04,3.194e+03,2.486e+05,2.650e+05
114.6,1.326e+04,3.153e+03,2.681e+05,2.845e+05
116.1,1.347e+04,2.980e+03,3.026e+05,3.191e+05
117.6,1.353e+04,3.080e+03,3.456e+05,3.622e+05
119.2,1.359e+04,3.523e+03,4.070e+05,4.241e+05
120.7,1.416e+04,4.114e+03,4.889e+05,5.072e+05
122.2,1.460e+04,4.934e+03,5.959e+05,6.155e+05
123.8,1.477e+04,6.338e+03,7.322e+05,7.533e+05
125.3,1.498e+04,8.720e+03,9.195e+05,9.432e+05
126.8,1.527e+04,1.219e+04,1.110e+06,1.137e+06
128.3,1.503e+04,1.637e+04,1.318e+06,1.349e+06
129.9,1.400e+04,2.123e+04,1.568e+06,1.603e+06
131.4,1.300e+04,2.477e+04,1.749e+06,1.787e+06
132.9,7.950e+03,1.761e+04,1.174e+06,1.200e+06
134.5,1.452e+03,5.386e+03,2.395e+05,2.463e+05
136.0,5.573e+02,3.823e+03,1.099e+05,1.143e+05
137.5,5.743e+02,4.476e+03,1.031e+05,1.082e+05
139.0,5.683e+02,5.278e+03,9.780e+04,1.036e+05
140.6,5.500e+02,5.828e+03,9.383e+04,1.002e+05
142.1,5.790e+02,6.854e+03,9.306e+04,1.005e+05
143.6,5.796e+02,6.497e+03,9.169e+04,9.877e+04
145.1,5.307e+02,6.223e+03,9.414e+04,1.009e+05
146.7,4.496e+02,5.894e+03,9.494e+04,1.013e+05
148.2,3.831e+02,4.838e+03,9.716e+04,1.024e+05
149.7,3.347e+02,4.365e+03,1.035e+05,1.082e+05
151.3,2.799e+02,3.755e+03,1.019e+05,1.060e+05
152.8,2.312e+02,3.381e+03,9.371e+04,9.732e+04
154.3,2.194e+02,2.822e+03,8.777e+04,9.081e+04
155.8,2.101e+02,2.378e+03,8.197e+04,8.456e+04
157.4,1.845e+02,2.186e+03,7.487e+04,7.724e+04
158.9,3.703e+02,2.303e+03,7.013e+04,7.280e+04
160.4,1.519e+04,2.937e+04,1.200e+05,1.645e+05
162.0,4.413e+04,8.322e+04,2.367e+05,3.640e+05
163.5,1.104e+04,2.261e+04,8.580e+04,1.195e+05
165.0,4.761e+03,9.347e+03,4.527e+04,5.938e+04
166.5,1.840e+03,4.842e+03,3.776e+04,4.444e+04
168.1,2.371e+02,3.099e+03,2.898e+04,3.232e+04
169.6,2.620e+02,6.011e+03,2.797e+04,3.424e+04
171.1,2.908e+02,8.731e+03,3.428e+04,4.330e+04
172.6,3.267e+02,1.004e+04,4.570e+04,5.607e+04
174.2,4.191e+02,1.048e+04,4.660e+04,5.749e+04
175.7,5.093e+02,9.811e+03,4.355e+04,5.387e+04
177.2,6.520e+02,1.011e+04,3.960e+04,5.037e+04
178.8,7.841e+02,8.395e+03,3.416e+04,4.334e+04
180.3,6.764e+02,7.295e+03,2.992e+04,3.789e+04
181.8,4.378e+02,7.220e+03,3.004e+04,3.769e+04
183.3,3.903e+02,4.750e+03,3.205e+04,3.719e+04
184.9,5.371e+02,3.370e+03,3.068e+04,3.459e+04
186.4,5.201e+02,3.028e+03,3.313e+04,3.667e+04
187.9,4.472e+02,2.265e+03,3.539e+04,3.810e+04
189.5,3.893e+02,2.453e+03,3.691e+04,3.975e+04
191.0,3.871e+02,2.790e+03,4.064e+04,4.382e+04
192.5,3.882e+02,2.860e+03,4.456e+04,4.781e+04
194.0,2.898e+02,2.867e+03,4.564e+04,4.880e+04
195.6,1.717e+02,2.678e+03,4.317e+04,4.602e+04
197.1,1.345e+02,2.355e+03,4.554e+04,4.803e+04
198.6,1.453e+02,2.149e+03,5.090e+04,5.319e+04
