freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.882e+02,7.163e+02,7.631e+01,1.481e+03
1.5,4.256e+02,1.402e+03,2.851e+02,2.113e+03
3.1,6.161e+01,1.482e+03,4.514e+02,1.995e+03
4.6,3.448e+02,1.902e+03,4.213e+02,2.668e+03
6.1,1.221e+03,1.904e+03,3.973e+02,3.522e+03
7.6,2.076e+03,1.991e+03,4.031e+02,4.470e+03
9.2,3.053e+03,2.223e+03,4.078e+02,5.683e+03
10.7,4.226e+03,2.113e+03,4.008e+02,6.740e+03
12.2,5.724e+03,2.077e+03,3.627e+02,8.163e+03
13.7,7.623e+03,1.867e+03,3.595e+02,9.849e+03
15.3,1.013e+04,1.722e+03,3.274e+02,1.218e+04
16.8,1.374e+04,1.974e+03,3.427e+02,1.606e+04
18.3,1.850e+04,1.958e+03,3.159e+02,2.077e+04
19.9,2.431e+04,2.055e+03,3.326e+02,2.669e+04
21.4,2.790e+04,2.707e+03,3.751e+02,3.098e+04
22.9,2.424e+04,3.010e+03,3.643e+02,2.762e+04
24.4,1.722e+04,2.583e+03,3.481e+02,2.015e+04
26.0,1.359e+04,2.437e+03,3.855e+02,1.642e+04
27.5,1.333e+04,2.221e+03,4.392e+02,1.599e+04
29.0,1.497e+04,2.467e+03,3.403e+02,1.778e+04
30.5,1.764e+04,2.497e+03,2.739e+02,2.041e+04
32.1,2.103e+04,2.224e+03,2.328e+02,2.349e+04
33.6,2.481e+04,3.281e+03,2.477e+02,2.834e+04
35.1,2.897e+04,4.282e+03,2.786e+02,3.353e+04
36.7,3.355e+04,7.811e+03,2.663e+02,4.163e+04
38.2,3.794e+04,1.721e+04,3.241e+02,5.548e+04
39.7,4.195e+04,4.000e+04,4.171e+02,8.237e+04
41.2,4.980e+04,8.165e+04,5.495e+02,1.320e+05
42.8,6.113e+04,1.314e+05,5.070e+02,1.930e+05
44.3,7.158e+04,1.631e+05,4.365e+02,2.352e+05
45.8,8.751e+04,1.719e+05,4.913e+02,2.599e+05
47.3,1.075e+05,1.679e+05,5.470e+02,2.759e+05
48.9,1.253e+05,1.542e+05,5.998e+02,2.801e+05
50.4,1.408e+05,1.377e+05,6.060e+02,2.791e+05
51.9,1.654e+05,1.297e+05,6.643e+02,2.958e+05
53.4,1.964e+05,1.262e+05,7.560e+02,3.233e+05
55.0,2.341e+05,1.301e+05,7.936e+02,3.650e+05
56.5,2.703e+05,1.378e+05,8.575e+02,4.090e+05
58.0,3.083e+05,1.494e+05,9.010e+02,4.586e+05
59.6,3.789e+05,1.741e+05,1.041e+03,5.541e+05
61.1,4.737e+05,1.987e+05,1.221e+03,6.736e+05
62.6,5.951e+05,2.238e+05,1.370e+03,8.203e+05
64.1,7.555e+05,2.621e+05,1.616e+03,1.019e+06
65.7,9.465e+05,3.254e+05,2.008e+03,1.274e+06
67.2,1.095e+06,4.067e+05,2.505e+03,1.504e+06
68.7,1.224e+06,5.522e+05,3.314e+03,1.780e+06
70.2,1.424e+06,8.542e+05,4.145e+03,2.283e+06
71.8,1.628e+06,1.209e+06,6.418e+03,2.843e+06
73.3,1.869e+06,1.580e+06,1.060e+04,3.459e+06
74.8,2.185e+06,1.987e+06,1.742e+04,4.189e+06
76.4,2.529e+06,2.342e+06,2.598e+04,4.897e+06
77.9,2.870e+06,2.608e+06,3.430e+04,5.513e+06
79.4,3.141e+06,2.696e+06,4.056e+04,5.877e+06
80.9,3.175e+06,2.499e+06,3.885e+04,5.712e+06
82.5,2.737e+06,1.942e+06,3.460e+04,4.714e+06
84.0,2.426e+06,1.619e+06,3.484e+04,4.081e+06
85.5,2.359e+06,1.575e+06,3.590e+04,3.970e+06
87.0,2.174e+06,1.370e+06,3.656e+04,3.581e+06
88.6,1.937e+06,1.171e+06,3.955e+04,3.147e+06
90.1,1.697e+06,9.759e+05,4.191e+04,2.714e+06
91.6,1.560e+06,8.469e+05,3.960e+04,2.446e+06
93.2,1.395e+06,7.268e+05,3.085e+04,2.153e+06
94.7,1.224e+06,6.279e+05,1.812e+04,1.870e+06
96.2,1.102e+06,5.731e+05,1.012e+04,1.685e+06
97.7,1.002e+06,5.266e+05,9.043e+03,1.537e+06
99.3,9.127e+05,4.898e+05,1.128e+04,1.414e+06
100.8,8.247e+05,4.450e+05,1.459e+04,1.284e+06
102.3,7.386e+05,3.961e+05,1.690e+04,1.152e+06
103.8,6.464e+05,3.439e+05,1.576e+04,1.006e+06
105.4,5.344e+05,2.773e+05,9.615e+03,8.213e+05
106.9,4.882e+05,2.499e+05,7.180e+03,7.452e+05
108.4,4.644e+05,2.387e+05,7.129e+03,7.103e+05
110.0,4.431e+05,2.278e+05,8.216e+03,6.791e+05
111.5,4.263e+05,2.158e+05,1.028e+04,6.524e+05
113.0,4.083e+05,2.016e+05,1.400e+04,6.239e+05
114.5,3.909e+05,1.880e+05,2.010e+04,5.990e+05
116.1,3.792e+05,1.817e+05,2.559e+04,5.866e+05
117.6,3.693e+05,1.751e+05,3.166e+04,5.760e+05
119.1,3.611e+05,1.686e+05,3.677e+04,5.664e+05
120.6,3.540e+05,1.638e+05,4.301e+04,5.608e+05
122.2,3.524e+05,1.621e+05,5.061e+04,5.651e+05
123.7,3.493e+05,1.582e+05,5.911e+04,5.666e+05
125.2,3.407e+05,1.514e+05,6.563e+04,5.577e+05
126.8,3.363e+05,1.455e+05,7.184e+04,5.536e+05
128.3,3.280e+05,1.367e+05,1.261e+05,5.908e+05
129.8,3.189e+05,1.282e+05,1.555e+05,6.025e+05
131.3,3.105e+05,1.222e+05,1.434e+05,5.761e+05
132.9,2.004e+05,7.881e+04,1.035e+05,3.827e+05
134.4,2.877e+04,1.244e+04,5.772e+04,9.892e+04
135.9,3.682e+03,3.125e+03,4.557e+04,5.237e+04
137.4,3.365e+03,3.046e+03,4.707e+04,5.348e+04
139.0,3.160e+03,3.494e+03,4.717e+04,5.383e+04
140.5,3.159e+03,3.977e+03,4.718e+04,5.431e+04
142.0,3.303e+03,4.398e+03,4.684e+04,5.454e+04
143.5,3.489e+03,4.875e+03,4.349e+04,5.185e+04
145.1,3.558e+03,5.119e+03,3.738e+04,4.606e+04
146.6,3.708e+03,5.804e+03,3.290e+04,4.241e+04
148.1,4.327e+03,5.139e+03,2.913e+04,3.859e+04
149.7,5.615e+03,5.555e+03,2.466e+04,3.583e+04
151.2,5.978e+03,5.685e+03,2.073e+04,3.240e+04
152.7,5.593e+03,4.855e+03,1.679e+04,2.724e+04
154.2,5.585e+03,4.661e+03,1.391e+04,2.416e+04
155.8,5.749e+03,4.353e+03,1.083e+04,2.093e+04
157.3,5.947e+03,4.218e+03,8.694e+03,1.886e+04
158.8,5.900e+03,4.005e+03,7.672e+03,1.758e+04
160.3,1.359e+04,2.521e+04,4.349e+04,8.230e+04
161.9,3.080e+04,7.437e+04,1.195e+05,2.247e+05
163.4,1.024e+04,2.189e+04,3.184e+04,6.398e+04
164.9,5.671e+03,9.422e+03,8.352e+03,2.344e+04
166.5,4.924e+03,8.110e+03,1.004e+04,2.307e+04
168.0,5.357e+03,8.552e+03,9.274e+03,2.318e+04
169.5,4.898e+03,8.102e+03,4.291e+03,1.729e+04
171.0,5.372e+03,8.981e+03,3.711e+03,1.806e+04
172.6,6.874e+03,1.140e+04,3.927e+03,2.221e+04
174.1,6.977e+03,1.561e+04,4.460e+03,2.705e+04
175.6,6.591e+03,1.903e+04,5.554e+03,3.118e+04
177.1,6.438e+03,1.786e+04,6.354e+03,3.065e+04
178.7,6.459e+03,1.463e+04,6.973e+03,2.807e+04
180.2,6.583e+03,8.954e+03,7.054e+03,2.259e+04
181.7,5.967e+03,6.192e+03,7.080e+03,1.924e+04
183.3,5.583e+03,4.229e+03,5.320e+03,1.513e+04
184.8,5.336e+03,3.244e+03,5.349e+03,1.393e+04
186.3,5.199e+03,3.094e+03,5.389e+03,1.368e+04
187.8,5.152e+03,3.199e+03,5.714e+03,1.406e+04
189.4,5.084e+03,3.176e+03,5.798e+03,1.406e+04
190.9,5.095e+03,2.839e+03,5.654e+03,1.359e+04
192.4,5.073e+03,2.655e+03,6.117e+03,1.385e+04
193.9,5.457e+03,2.965e+03,5.963e+03,1.438e+04
195.5,6.053e+03,3.468e+03,4.668e+03,1.419e+04
197.0,6.387e+03,3.930e+03,5.297e+03,1.561e+04
198.5,6.470e+03,4.431e+03,8.441e+03,1.934e+04
