freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.370e+01,4.834e+01,5.463e+02,6.083e+02
1.5,3.498e+01,1.087e+02,7.612e+02,9.049e+02
3.1,3.514e+01,1.308e+02,5.346e+02,7.005e+02
4.6,3.462e+01,1.008e+02,6.931e+02,8.285e+02
6.1,3.738e+01,1.329e+02,1.644e+03,1.814e+03
7.7,3.792e+01,1.322e+02,2.464e+03,2.634e+03
9.2,3.649e+01,1.242e+02,3.293e+03,3.454e+03
10.7,3.472e+01,1.080e+02,4.318e+03,4.461e+03
12.2,3.586e+01,9.989e+01,5.618e+03,5.754e+03
13.8,3.586e+01,1.469e+02,7.446e+03,7.628e+03
15.3,3.915e+01,1.625e+02,9.728e+03,9.929e+03
16.8,4.062e+01,1.413e+02,1.264e+04,1.282e+04
18.4,3.845e+01,1.365e+02,1.616e+04,1.633e+04
19.9,4.120e+01,1.342e+02,1.865e+04,1.883e+04
21.4,5.984e+01,1.404e+02,1.730e+04,1.750e+04
23.0,6.957e+01,1.716e+02,1.382e+04,1.406e+04
24.5,7.397e+01,1.908e+02,1.246e+04,1.272e+04
26.0,7.328e+01,1.755e+02,1.339e+04,1.364e+04
27.6,5.739e+01,1.581e+02,1.509e+04,1.530e+04
29.1,4.955e+01,1.510e+02,1.754e+04,1.774e+04
30.6,4.519e+01,1.795e+02,2.040e+04,2.063e+04
32.2,4.307e+01,1.926e+02,2.394e+04,2.417e+04
33.7,4.491e+01,1.996e+02,2.831e+04,2.855e+04
35.2,4.500e+01,1.956e+02,3.261e+04,3.285e+04
36.7,5.177e+01,2.012e+02,3.684e+04,3.709e+04
38.3,5.039e+01,2.518e+02,4.210e+04,4.240e+04
39.8,5.518e+01,3.989e+02,4.668e+04,4.713e+04
41.3,5.381e+01,7.967e+02,5.269e+04,5.354e+04
42.9,5.206e+01,2.173e+03,5.717e+04,5.939e+04
44.4,5.225e+01,5.620e+03,5.791e+04,6.359e+04
45.9,5.311e+01,7.883e+03,5.973e+04,6.766e+04
47.5,6.397e+01,7.271e+03,6.276e+04,7.009e+04
49.0,7.760e+01,5.689e+03,6.587e+04,7.164e+04
50.5,8.796e+01,4.475e+03,7.120e+04,7.577e+04
52.1,7.946e+01,3.920e+03,8.251e+04,8.651e+04
53.6,8.875e+01,3.309e+03,9.739e+04,1.008e+05
55.1,1.112e+02,2.477e+03,1.145e+05,1.171e+05
56.7,1.041e+02,1.811e+03,1.302e+05,1.321e+05
58.2,8.992e+01,1.576e+03,1.469e+05,1.486e+05
59.7,1.034e+02,2.655e+03,1.724e+05,1.751e+05
61.2,1.308e+02,6.921e+03,2.032e+05,2.102e+05
62.8,1.991e+02,1.677e+04,2.370e+05,2.540e+05
64.3,3.511e+02,3.258e+04,2.772e+05,3.102e+05
65.8,6.374e+02,5.043e+04,3.136e+05,3.647e+05
67.4,9.422e+02,6.735e+04,3.359e+05,4.042e+05
68.9,1.384e+03,8.859e+04,3.768e+05,4.668e+05
70.4,2.283e+03,1.164e+05,4.443e+05,5.630e+05
72.0,3.487e+03,1.429e+05,5.220e+05,6.684e+05
73.5,5.159e+03,1.666e+05,6.022e+05,7.740e+05
75.0,7.687e+03,1.802e+05,6.652e+05,8.531e+05
76.6,1.146e+04,1.816e+05,7.114e+05,9.044e+05
78.1,1.670e+04,1.771e+05,7.458e+05,9.397e+05
79.6,2.233e+04,1.685e+05,7.605e+05,9.513e+05
81.1,2.721e+04,1.512e+05,7.446e+05,9.230e+05
82.7,3.211e+04,1.292e+05,7.034e+05,8.648e+05
84.2,3.157e+04,1.038e+05,6.639e+05,7.992e+05
85.7,2.951e+04,8.180e+04,6.070e+05,7.183e+05
87.3,2.681e+04,6.335e+04,5.187e+05,6.088e+05
88.8,2.238e+04,4.544e+04,4.158e+05,4.836e+05
90.3,1.791e+04,2.950e+04,3.278e+05,3.752e+05
91.9,1.718e+04,1.986e+04,2.657e+05,3.028e+05
93.4,2.036e+04,1.666e+04,2.427e+05,2.797e+05
94.9,3.030e+04,2.004e+04,2.570e+05,3.073e+05
96.5,4.353e+04,2.747e+04,3.084e+05,3.794e+05
98.0,5.460e+04,3.157e+04,3.919e+05,4.780e+05
99.5,5.306e+04,2.828e+04,4.337e+05,5.150e+05
101.1,4.905e+04,2.119e+04,4.699e+05,5.401e+05
102.6,4.528e+04,1.398e+04,5.232e+05,5.824e+05
104.1,3.626e+04,8.547e+03,4.710e+05,5.158e+05
105.6,2.688e+04,4.736e+03,3.993e+05,4.310e+05
107.2,2.173e+04,2.822e+03,3.692e+05,3.937e+05
108.7,1.905e+04,1.970e+03,3.565e+05,3.775e+05
110.2,1.679e+04,1.578e+03,3.539e+05,3.723e+05
111.8,1.483e+04,1.428e+03,3.592e+05,3.754e+05
113.3,1.386e+04,1.628e+03,3.770e+05,3.925e+05
114.8,1.364e+04,1.954e+03,4.019e+05,4.175e+05
116.4,1.306e+04,2.431e+03,4.318e+05,4.473e+05
117.9,1.202e+04,3.203e+03,4.971e+05,5.123e+05
119.4,1.066e+04,4.165e+03,6.112e+05,6.260e+05
121.0,9.001e+03,5.032e+03,7.818e+05,7.958e+05
122.5,7.215e+03,6.505e+03,1.018e+06,1.032e+06
124.0,6.294e+03,9.162e+03,1.319e+06,1.335e+06
125.6,6.249e+03,1.364e+04,1.611e+06,1.631e+06
127.1,6.429e+03,2.037e+04,1.932e+06,1.959e+06
128.6,5.999e+03,2.631e+04,2.326e+06,2.359e+06
130.1,5.661e+03,3.033e+04,2.714e+06,2.750e+06
131.7,5.107e+03,3.112e+04,2.927e+06,2.963e+06
133.2,3.230e+03,1.760e+04,1.601e+06,1.621e+06
134.7,1.491e+03,4.985e+03,1.951e+05,2.016e+05
136.3,9.891e+02,4.354e+03,7.783e+04,8.317e+04
137.8,9.479e+02,5.006e+03,7.118e+04,7.713e+04
139.3,9.468e+02,5.784e+03,6.712e+04,7.385e+04
140.9,1.023e+03,6.748e+03,6.343e+04,7.120e+04
142.4,1.269e+03,7.959e+03,6.285e+04,7.208e+04
143.9,1.290e+03,8.450e+03,6.435e+04,7.409e+04
145.5,1.093e+03,8.372e+03,6.846e+04,7.792e+04
147.0,8.876e+02,7.561e+03,7.608e+04,8.453e+04
148.5,7.079e+02,6.225e+03,8.482e+04,9.175e+04
150.0,6.085e+02,4.773e+03,9.226e+04,9.764e+04
151.6,5.371e+02,3.656e+03,8.882e+04,9.302e+04
153.1,4.172e+02,2.760e+03,8.073e+04,8.390e+04
154.6,3.120e+02,2.168e+03,7.259e+04,7.507e+04
156.2,2.545e+02,1.953e+03,6.333e+04,6.554e+04
157.7,2.446e+02,1.805e+03,5.505e+04,5.710e+04
159.2,2.495e+02,1.654e+03,4.779e+04,4.970e+04
160.8,2.505e+02,1.561e+03,4.071e+04,4.252e+04
162.3,2.501e+02,1.521e+03,3.445e+04,3.622e+04
163.8,2.500e+02,1.532e+03,2.738e+04,2.916e+04
165.4,2.623e+02,1.457e+03,2.049e+04,2.221e+04
166.9,2.858e+02,1.420e+03,1.871e+04,2.042e+04
168.4,3.061e+02,1.538e+03,1.763e+04,1.948e+04
170.0,3.337e+02,1.668e+03,1.806e+04,2.006e+04
171.5,3.818e+02,1.876e+03,2.480e+04,2.706e+04
173.0,4.135e+02,2.056e+03,3.177e+04,3.424e+04
174.5,3.920e+02,2.096e+03,3.180e+04,3.429e+04
176.1,3.114e+02,2.021e+03,3.111e+04,3.344e+04
177.6,2.709e+02,1.993e+03,2.822e+04,3.048e+04
179.1,2.453e+02,1.994e+03,2.509e+04,2.733e+04
180.7,2.083e+02,2.035e+03,2.292e+04,2.516e+04
182.2,1.932e+02,2.103e+03,2.119e+04,2.349e+04
183.7,2.035e+02,2.281e+03,1.948e+04,2.196e+04
185.3,2.306e+02,2.482e+03,1.792e+04,2.063e+04
186.8,2.729e+02,2.564e+03,1.757e+04,2.041e+04
188.3,3.469e+02,2.383e+03,1.884e+04,2.157e+04
189.9,3.749e+02,2.370e+03,2.117e+04,2.391e+04
191.4,3.071e+02,2.786e+03,2.401e+04,2.710e+04
192.9,2.444e+02,3.503e+03,2.735e+04,3.109e+04
194.4,2.779e+02,4.007e+03,3.425e+04,3.853e+04
196.0,3.525e+02,3.698e+03,4.005e+04,4.410e+04
197.5,3.425e+02,2.875e+03,4.988e+04,5.310e+04
199.0,3.382e+02,1.790e+03,6.322e+04,6.535e+04
