freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.438e+02,6.029e+02,4.808e+01,1.295e+03
1.5,3.875e+02,1.015e+03,1.729e+02,1.575e+03
3.1,4.642e+01,7.390e+02,1.639e+02,9.493e+02
4.6,3.471e+02,7.408e+02,1.536e+02,1.242e+03
6.1,1.243e+03,7.369e+02,1.562e+02,2.136e+03
7.6,2.067e+03,7.998e+02,1.470e+02,3.014e+03
9.2,3.011e+03,7.301e+02,1.437e+02,3.885e+03
10.7,4.222e+03,6.834e+02,1.527e+02,5.058e+03
12.2,5.796e+03,8.022e+02,1.924e+02,6.790e+03
13.8,7.695e+03,9.600e+02,1.976e+02,8.853e+03
15.3,1.024e+04,1.029e+03,1.733e+02,1.144e+04
16.8,1.344e+04,1.029e+03,2.030e+02,1.467e+04
18.4,1.765e+04,1.349e+03,2.913e+02,1.929e+04
19.9,2.265e+04,1.525e+03,2.639e+02,2.444e+04
21.4,2.501e+04,1.778e+03,3.019e+02,2.709e+04
22.9,2.116e+04,2.010e+03,3.336e+02,2.350e+04
24.5,1.486e+04,1.919e+03,3.539e+02,1.713e+04
26.0,1.161e+04,1.497e+03,3.387e+02,1.345e+04
27.5,1.126e+04,1.219e+03,3.009e+02,1.278e+04
29.1,1.237e+04,1.289e+03,2.844e+02,1.394e+04
30.6,1.425e+04,1.629e+03,2.901e+02,1.616e+04
32.1,1.678e+04,2.382e+03,3.238e+02,1.949e+04
33.7,1.964e+04,3.768e+03,3.358e+02,2.374e+04
35.2,2.254e+04,6.259e+03,3.737e+02,2.918e+04
36.7,2.557e+04,1.020e+04,4.511e+02,3.622e+04
38.2,2.912e+04,1.660e+04,5.585e+02,4.628e+04
39.8,3.229e+04,2.710e+04,7.193e+02,6.011e+04
41.3,3.707e+04,4.887e+04,9.234e+02,8.686e+04
42.8,4.200e+04,8.887e+04,1.142e+03,1.320e+05
44.4,4.711e+04,1.276e+05,1.170e+03,1.759e+05
45.9,5.615e+04,1.759e+05,1.096e+03,2.332e+05
47.4,6.701e+04,2.515e+05,1.095e+03,3.196e+05
49.0,7.721e+04,3.357e+05,9.860e+02,4.139e+05
50.5,8.801e+04,3.906e+05,8.263e+02,4.794e+05
52.0,1.063e+05,4.336e+05,8.991e+02,5.407e+05
53.5,1.303e+05,4.642e+05,1.213e+03,5.958e+05
55.1,1.576e+05,4.843e+05,1.660e+03,6.436e+05
56.6,1.832e+05,4.782e+05,2.224e+03,6.636e+05
58.1,2.104e+05,4.547e+05,2.793e+03,6.679e+05
59.7,2.539e+05,4.596e+05,3.487e+03,7.170e+05
61.2,3.153e+05,4.897e+05,4.559e+03,8.096e+05
62.7,3.978e+05,5.470e+05,5.807e+03,9.506e+05
64.3,5.079e+05,6.272e+05,6.835e+03,1.142e+06
65.8,6.453e+05,7.313e+05,9.364e+03,1.386e+06
67.3,7.790e+05,8.239e+05,1.345e+04,1.616e+06
68.8,9.784e+05,9.675e+05,1.930e+04,1.965e+06
70.4,1.329e+06,1.232e+06,2.890e+04,2.591e+06
71.9,1.837e+06,1.618e+06,4.116e+04,3.496e+06
73.4,2.536e+06,2.100e+06,4.778e+04,4.684e+06
75.0,3.324e+06,2.561e+06,4.627e+04,5.931e+06
76.5,3.884e+06,2.801e+06,4.581e+04,6.730e+06
78.0,3.791e+06,2.546e+06,4.436e+04,6.382e+06
79.6,3.292e+06,2.090e+06,3.758e+04,5.420e+06
81.1,2.702e+06,1.608e+06,3.175e+04,4.341e+06
82.6,2.080e+06,1.137e+06,2.774e+04,3.245e+06
84.1,1.726e+06,8.638e+05,2.455e+04,2.614e+06
85.7,1.657e+06,7.827e+05,2.342e+04,2.463e+06
87.2,1.545e+06,6.922e+05,2.428e+04,2.261e+06
88.7,1.389e+06,6.040e+05,2.424e+04,2.017e+06
90.3,1.239e+06,5.265e+05,2.223e+04,1.788e+06
91.8,1.083e+06,4.493e+05,1.695e+04,1.550e+06
93.3,9.429e+05,3.811e+05,1.227e+04,1.336e+06
94.9,8.504e+05,3.362e+05,8.805e+03,1.195e+06
96.4,7.909e+05,3.051e+05,7.022e+03,1.103e+06
97.9,7.249e+05,2.780e+05,5.777e+03,1.009e+06
99.4,6.619e+05,2.505e+05,4.810e+03,9.172e+05
101.0,5.949e+05,2.201e+05,3.738e+03,8.187e+05
102.5,5.288e+05,1.950e+05,2.861e+03,7.267e+05
104.0,4.463e+05,1.663e+05,2.496e+03,6.151e+05
105.6,3.545e+05,1.337e+05,2.933e+03,4.911e+05
107.1,3.248e+05,1.230e+05,4.019e+03,4.518e+05
108.6,3.094e+05,1.185e+05,5.214e+03,4.331e+05
110.1,2.924e+05,1.143e+05,6.048e+03,4.128e+05
111.7,2.842e+05,1.133e+05,6.965e+03,4.045e+05
113.2,2.753e+05,1.113e+05,7.636e+03,3.943e+05
114.7,2.701e+05,1.113e+05,8.250e+03,3.897e+05
116.3,2.640e+05,1.111e+05,8.982e+03,3.841e+05
117.8,2.604e+05,1.119e+05,1.142e+04,3.837e+05
119.3,2.582e+05,1.135e+05,1.612e+04,3.878e+05
120.9,2.551e+05,1.142e+05,3.091e+04,4.002e+05
122.4,2.504e+05,1.157e+05,5.807e+04,4.241e+05
123.9,2.455e+05,1.181e+05,8.139e+04,4.450e+05
125.4,2.412e+05,1.200e+05,9.392e+04,4.552e+05
127.0,2.380e+05,1.221e+05,9.885e+04,4.589e+05
128.5,2.406e+05,1.238e+05,1.000e+05,4.644e+05
130.0,2.406e+05,1.239e+05,9.793e+04,4.625e+05
131.6,2.272e+05,1.187e+05,9.000e+04,4.359e+05
133.1,1.086e+05,5.967e+04,4.472e+04,2.130e+05
134.6,1.100e+04,9.267e+03,1.008e+04,3.034e+04
136.2,4.601e+03,5.612e+03,8.891e+03,1.910e+04
137.7,4.242e+03,5.116e+03,9.453e+03,1.881e+04
139.2,3.910e+03,4.662e+03,1.022e+04,1.879e+04
140.7,3.800e+03,4.211e+03,1.138e+04,1.939e+04
142.3,3.617e+03,3.950e+03,1.220e+04,1.976e+04
143.8,3.405e+03,3.628e+03,1.296e+04,1.999e+04
145.3,3.301e+03,3.103e+03,1.234e+04,1.874e+04
146.9,3.397e+03,2.640e+03,1.248e+04,1.852e+04
148.4,3.647e+03,2.330e+03,1.286e+04,1.884e+04
149.9,4.086e+03,2.267e+03,9.929e+03,1.628e+04
151.5,3.992e+03,2.265e+03,7.246e+03,1.350e+04
153.0,3.483e+03,1.722e+03,4.828e+03,1.003e+04
154.5,3.035e+03,1.634e+03,4.268e+03,8.937e+03
156.0,2.821e+03,1.907e+03,5.280e+03,1.001e+04
157.6,3.003e+03,2.019e+03,7.743e+03,1.277e+04
159.1,3.616e+03,2.221e+03,1.163e+04,1.747e+04
160.6,4.014e+03,2.137e+03,1.315e+04,1.930e+04
162.2,3.953e+03,2.388e+03,1.526e+04,2.160e+04
163.7,3.647e+03,2.272e+03,1.987e+04,2.579e+04
165.2,3.546e+03,2.270e+03,2.690e+04,3.272e+04
166.8,3.784e+03,2.397e+03,3.673e+04,4.291e+04
168.3,3.965e+03,2.502e+03,4.883e+04,5.530e+04
169.8,3.670e+03,2.831e+03,4.149e+04,4.799e+04
171.3,4.215e+03,3.529e+03,2.866e+04,3.640e+04
172.9,5.398e+03,4.311e+03,3.644e+04,4.615e+04
174.4,5.614e+03,4.463e+03,4.114e+04,5.121e+04
175.9,5.490e+03,4.416e+03,4.527e+04,5.517e+04
177.5,5.275e+03,4.320e+03,4.780e+04,5.739e+04
179.0,4.933e+03,4.080e+03,5.226e+04,6.127e+04
180.5,4.733e+03,3.970e+03,5.848e+04,6.718e+04
182.1,4.731e+03,4.419e+03,5.708e+04,6.623e+04
183.6,5.119e+03,4.605e+03,5.406e+04,6.378e+04
185.1,5.475e+03,4.969e+03,5.569e+04,6.613e+04
186.6,5.197e+03,5.440e+03,6.661e+04,7.725e+04
188.2,4.734e+03,5.614e+03,8.448e+04,9.482e+04
189.7,4.510e+03,6.350e+03,1.112e+05,1.221e+05
191.2,4.375e+03,6.884e+03,1.340e+05,1.452e+05
192.8,4.047e+03,7.240e+03,1.537e+05,1.649e+05
194.3,3.745e+03,7.596e+03,1.622e+05,1.735e+05
195.8,3.528e+03,7.328e+03,1.409e+05,1.517e+05
197.4,3.390e+03,6.933e+03,1.135e+05,1.238e+05
198.9,3.372e+03,6.593e+03,8.746e+04,9.742e+04
