freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.269e+02,5.412e+02,3.120e+01,1.299e+03
1.5,4.337e+02,9.984e+02,8.192e+01,1.514e+03
3.1,4.720e+01,8.892e+02,1.027e+02,1.039e+03
4.6,3.315e+02,7.293e+02,1.052e+02,1.166e+03
6.1,1.202e+03,7.588e+02,1.016e+02,2.063e+03
7.7,2.031e+03,8.197e+02,9.787e+01,2.949e+03
9.2,2.973e+03,8.579e+02,9.074e+01,3.921e+03
10.7,4.181e+03,7.678e+02,9.932e+01,5.048e+03
12.2,5.599e+03,8.639e+02,1.040e+02,6.567e+03
13.8,7.347e+03,8.815e+02,9.787e+01,8.326e+03
15.3,9.748e+03,9.522e+02,1.005e+02,1.080e+04
16.8,1.306e+04,9.616e+02,1.161e+02,1.414e+04
18.4,1.737e+04,9.971e+02,1.367e+02,1.851e+04
19.9,2.251e+04,1.125e+03,1.844e+02,2.382e+04
21.4,2.535e+04,1.498e+03,2.260e+02,2.707e+04
23.0,2.172e+04,1.665e+03,1.985e+02,2.358e+04
24.5,1.545e+04,1.382e+03,1.862e+02,1.702e+04
26.0,1.236e+04,1.117e+03,1.596e+02,1.363e+04
27.5,1.235e+04,9.285e+02,1.178e+02,1.339e+04
29.1,1.403e+04,8.986e+02,1.188e+02,1.505e+04
30.6,1.645e+04,1.141e+03,1.255e+02,1.772e+04
32.1,1.928e+04,1.583e+03,1.373e+02,2.099e+04
33.7,2.245e+04,2.564e+03,1.562e+02,2.517e+04
35.2,2.606e+04,4.472e+03,1.736e+02,3.071e+04
36.7,2.976e+04,8.721e+03,2.066e+02,3.869e+04
38.3,3.318e+04,1.949e+04,2.521e+02,5.292e+04
39.8,3.732e+04,4.401e+04,3.328e+02,8.166e+04
41.3,4.422e+04,8.363e+04,4.503e+02,1.283e+05
42.9,5.376e+04,1.292e+05,5.089e+02,1.835e+05
44.4,6.545e+04,1.638e+05,5.302e+02,2.298e+05
45.9,8.112e+04,1.744e+05,5.609e+02,2.561e+05
47.4,9.876e+04,1.681e+05,5.431e+02,2.674e+05
49.0,1.150e+05,1.536e+05,5.257e+02,2.691e+05
